target_name	antigen_url	sku	species	expression_host	tags	gene_symbol	protein_name
NKG2A	https://www.sinobiological.com/search?keywords=13905-H07H1-B	13905-H07H1-B	Human		N-His		NKG2A (Amine-Labeled Biotinylated)
NKG2A & CD94 Heterodimer	https://www.sinobiological.com/search?keywords=CT174-H49H-B	CT174-H49H-B	Human		C-His-AVI		NKG2A & CD94 Heterodimer (Avi-tag Biotinylated, HPLC-verified)
NKp44/NCR2	https://www.sinobiological.com/search?keywords=11550-H08H-B	11550-H08H-B	Human		C-His		NKp44/NCR2 (Amine-Labeled Biotinylated)
NRAS	https://www.sinobiological.com/search?keywords=R07-32HB	R07-32HB	Human		N-AVI-His		NRAS (Q61K,Biotinylated)
Nectin-1/PVRL1	https://www.sinobiological.com/search?keywords=11611-H02H-B	11611-H02H-B	Human		C-hFc		Nectin-1/PVRL1 (Amine-Labeled Biotinylated)
Nectin-2	https://www.sinobiological.com/search?keywords=10005-H49H-B	10005-H49H-B	Human		C-His-AVI		Nectin-2 (Biotinylated)
Nectin-4	https://www.sinobiological.com/search?keywords=19771-H49H-B	19771-H49H-B	Human		C-His-AVI		Nectin-4 (Avi-tag Biotinylated, HPLC-verified)
Neuraminidase/NA	https://www.sinobiological.com/search?keywords=40108-V07H-B	40108-V07H-B	"H7N9
A/Anhui/1/2013"		N-His		Neuraminidase/NA (Amine-Labeled Biotinylated)
Neuregulin-1/NRG1	https://www.sinobiological.com/search?keywords=11609-HNCH-B	11609-HNCH-B	Human		No tag		Neuregulin-1/NRG1 (Amine-Labeled Biotinylated)
Neurofascin	https://www.sinobiological.com/search?keywords=15694-H02H-B	15694-H02H-B	Human		C-hFc		Neurofascin (Amine-Labeled Biotinylated)
Neuropilin-1/NRP1	https://www.sinobiological.com/search?keywords=10011-H27H-B	10011-H27H-B	Human		C-AVI & His		Neuropilin-1/NRP1 (Biotinylated, HPLC-verified)
Nucleoprotein/NP	https://www.sinobiological.com/search?keywords=40861-V49B-B	40861-V49B-B	"Influenza B
B/Austria/1359417/2021"		C-His-AVI		Nucleoprotein/NP (Avi-tag Biotinylated)
Nucleoprotein（RSV）	https://www.sinobiological.com/search?keywords=40821-V49E-B	40821-V49E-B	"RSV
strain A2, strain Long"		C-His-AVI		Nucleoprotein（RSV） (Avi-tag Biotinylated)
OX40/TNFRSF4	https://www.sinobiological.com/search?keywords=10481-H41H-B	10481-H41H-B	Human		C-hFc & AVI		OX40/TNFRSF4 (Biotinylated)
Oncostatin M/OSM	https://www.sinobiological.com/search?keywords=10452-H49H-B	10452-H49H-B	Human		C-His-AVI		Oncostatin M/OSM (Biotinylated, HPLC-verified)
PARP-1	https://www.sinobiological.com/search?keywords=11040-H49B-B	11040-H49B-B	Human		C-His-AVI		PARP-1 (Biotinylated, HPLC-verified)
PCDH7	https://www.sinobiological.com/search?keywords=21701-H56B-B	21701-H56B-B	Human		N-His & AVI		PCDH7 (Biotinylated)
PCSK9	https://www.sinobiological.com/search?keywords=29698-H27H-B	29698-H27H-B	Human		C-AVI & His		PCSK9 (Biotinylated, HPLC-verified)
PD-1	https://www.sinobiological.com/search?keywords=10377-H41H-B	10377-H41H-B	Human		C-hFc & AVI		PD-1 (Biotinylated, HPLC-verified)
PD-L1/B7-H1	https://www.sinobiological.com/search?keywords=10084-H08H-B	10084-H08H-B	Human		C-His		PD-L1/B7-H1 (Amine-Labeled Biotinylated)
PD-L2/B7-DC	https://www.sinobiological.com/search?keywords=10292-H08H-B	10292-H08H-B	Human		C-His		PD-L2/B7-DC (Amine-Labeled Biotinylated)
PDGF alpha receptor/PDGFRA	https://www.sinobiological.com/search?keywords=10556-H27H-B	10556-H27H-B	Human		C-AVI & His		PDGF alpha receptor/PDGFRA (Biotinylated)
PDGF beta receptor/PDGFRB	https://www.sinobiological.com/search?keywords=10514-H08H-B	10514-H08H-B	Human		C-His		PDGF beta receptor/PDGFRB (Amine-Labeled Biotinylated)
PGRP-S/PGLYRP1	https://www.sinobiological.com/search?keywords=10403-H08H-B	10403-H08H-B	Human		C-His		PGRP-S/PGLYRP1 (Biotinylated)
PILR-alpha/FDF03	https://www.sinobiological.com/search?keywords=13791-H41H-B	13791-H41H-B	Human		C-hFc & AVI		PILR-alpha/FDF03 (Biotinylated, HPLC-verified)
PLTP	https://www.sinobiological.com/search?keywords=11171-H08H-B	11171-H08H-B	Human		C-His		PLTP (Amine-Labeled Biotinylated)
PSCA	https://www.sinobiological.com/search?keywords=5A1731-M49H-B	5A1731-M49H-B	Mouse		C-His-AVI		PSCA (Biotinylated, HPLC-verified)
PSMA/FOLH1	https://www.sinobiological.com/search?keywords=15877-H56H-B	15877-H56H-B	Human		N-His & AVI		PSMA/FOLH1 (Biotinylated)
PTP1B	https://www.sinobiological.com/search?keywords=10304-H56E-B	10304-H56E-B	Human		N-His & AVI		PTP1B (Biotinylated, HPLC-verified)
PVRIG	https://www.sinobiological.com/search?keywords=28312-H41H-B	28312-H41H-B	Human		C-hFc & AVI		PVRIG (Biotinylated, HPLC-verified)
Parvin alpha/PARVA	https://www.sinobiological.com/search?keywords=13919-H09E-B	13919-H09E-B	Human		N-GST		Parvin alpha/PARVA (Biotinylated)
Pin1	https://www.sinobiological.com/search?keywords=10282-HNCE-B	10282-HNCE-B	Human		No tag		Pin1 (Biotinylated)
Placental Lactogen/CSH1	https://www.sinobiological.com/search?keywords=11596-H08H-B	11596-H08H-B	Human		C-His		Placental Lactogen/CSH1 (Amine-Labeled Biotinylated)
Prolactin	https://www.sinobiological.com/search?keywords=10275-HNAE-B	10275-HNAE-B	Human		No tag		Prolactin (Biotinylated, HPLC-verified)
Prostatic Acid Phosphatase/ACPP	https://www.sinobiological.com/search?keywords=10959-H49H-B	10959-H49H-B	Human		C-His-AVI		Prostatic Acid Phosphatase/ACPP (Avi-tag Biotinylated, HPLC-verified)
Protein A29	https://www.sinobiological.com/search?keywords=40891-V49E-B	40891-V49E-B	"MPXV
West African strains"		C-His-AVI		Protein A29 (Avi-tag Biotinylated)
Protein A35	https://www.sinobiological.com/search?keywords=40886-V49H-B	40886-V49H-B	"MPXV
West African strains"		C-His-AVI		Protein A35 (Avi-tag Biotinylated, HPLC-verified)
RABV Glycoprotein/G	https://www.sinobiological.com/search?keywords=40997-V49H-B	40997-V49H-B	RABV		C-His-AVI		RABV Glycoprotein/G (Avi-tag Biotinylated, MALS-verified)
RAGE	https://www.sinobiological.com/search?keywords=11629-H49H-B	11629-H49H-B	Human		C-His-AVI		RAGE (Biotinylated, HPLC-verified)
REG1A	https://www.sinobiological.com/search?keywords=11234-H08H-B	11234-H08H-B	Human		C-His		REG1A (Amine-Labeled Biotinylated)
ROBO1	https://www.sinobiological.com/search?keywords=30073-H27H-B	30073-H27H-B	Human		C-AVI & His		ROBO1 (Biotinylated, HPLC-verified)
ROR1	https://www.sinobiological.com/search?keywords=13968-HCCH1-B	13968-HCCH1-B	Human		No tag		ROR1 (Amine-Labeled Biotinylated, HPLC-verified)
ROR2	https://www.sinobiological.com/search?keywords=16133-H27H-B	16133-H27H-B	Human		C-AVI & His		ROR2 (Biotinylated, HPLC-verified)
RP105/CD180	https://www.sinobiological.com/search?keywords=11370-H08H-B	11370-H08H-B	Human		C-His		RP105/CD180 (Biotinylated)
RSV Fusion	https://www.sinobiological.com/search?keywords=11049-VNAS-B	11049-VNAS-B	"RSV
subtype A, strain A2"		No tag		RSV Fusion (Amine-Labeled Biotinylated, Prefusion)
RSV Glycoprotein G	https://www.sinobiological.com/search?keywords=13029-V49H-B	13029-V49H-B	"RSV
B1"		C-His-AVI		RSV Glycoprotein G (Avi-tag Biotinylated)
RTN4RL1	https://www.sinobiological.com/search?keywords=14207-H49H-B	14207-H49H-B	Human		C-His-AVI		RTN4RL1 (Avi-tag Biotinylated, HPLC-verified)
Recombinant Protein A, Biotinylated	https://www.sinobiological.com/search?keywords=10600-P07E-B	10600-P07E-B	other				Recombinant Protein A, Biotinylated
